Ciudad,source_of_info,number_of_ads
Álvaro Obregón,Inmuebles 24,184
Álvaro Obregón,mercado_libre,168
Azcapotzalco,Inmuebles 24,149
Azcapotzalco,mercado_libre,32
Benito Juárez,Inmuebles 24,517
Benito Juárez,mercado_libre,296
Coyoacán,Inmuebles 24,151
Coyoacán,mercado_libre,43
Cuajimalpa de Morelos,Inmuebles 24,133
Cuajimalpa de Morelos,mercado_libre,147
Cuauhtémoc,Inmuebles 24,286
Cuauhtémoc,mercado_libre,344
Gustavo A. Madero,Inmuebles 24,117
Gustavo A. Madero,mercado_libre,41
Iztacalco,Inmuebles 24,41
Iztacalco,mercado_libre,12
Iztapalapa,Inmuebles 24,69
Iztapalapa,mercado_libre,14
La Magdalena Contreras,Inmuebles 24,25
La Magdalena Contreras,mercado_libre,20
Miguel Hidalgo,Inmuebles 24,281
Miguel Hidalgo,mercado_libre,340
Tlalpan,Inmuebles 24,147
Tlalpan,mercado_libre,53
Tláhuac,Inmuebles 24,5
Tláhuac,mercado_libre,4
Venustiano Carranza,Inmuebles 24,64
Venustiano Carranza,mercado_libre,22
Xochimilco,Inmuebles 24,27
Xochimilco,mercado_libre,5
