NOM_ENT,NOMGEO,NOM_LOC,POBTOT
Ciudad de México,Azcapotzalco,Total del Municipio,432205
Ciudad de México,Coyoacán,Total del Municipio,614447
Ciudad de México,Cuajimalpa de Morelos,Total del Municipio,217686
Ciudad de México,Gustavo A. Madero,Total del Municipio,1173351
Ciudad de México,Iztacalco,Total del Municipio,404695
Ciudad de México,Iztapalapa,Total del Municipio,1835486
Ciudad de México,La Magdalena Contreras,Total del Municipio,247622
Ciudad de México,Milpa Alta,Total del Municipio,152685
Ciudad de México,Álvaro Obregón,Total del Municipio,759137
Ciudad de México,Tláhuac,Total del Municipio,392313
Ciudad de México,Tlalpan,Total del Municipio,699928
Ciudad de México,Xochimilco,Total del Municipio,442178
Ciudad de México,Benito Juárez,Total del Municipio,434153
Ciudad de México,Cuauhtémoc,Total del Municipio,545884
Ciudad de México,Miguel Hidalgo,Total del Municipio,414470
Ciudad de México,Venustiano Carranza,Total del Municipio,443704
